,County|Prec,Type,Context
1954,NEW_HANOVER|W03,PERFECT_MATCH,NEW_HANOVER|W03
1955,NEW_HANOVER|H01,PERFECT_MATCH,NEW_HANOVER|H01
1956,NEW_HANOVER|H06,PERFECT_MATCH,NEW_HANOVER|H06
1957,NEW_HANOVER|FP07,PERFECT_MATCH,NEW_HANOVER|FP07
1958,NEW_HANOVER|CF05,PERFECT_MATCH,NEW_HANOVER|CF05
1959,NEW_HANOVER|H08,PERFECT_MATCH,NEW_HANOVER|H08
1960,NEW_HANOVER|CF06,PERFECT_MATCH,NEW_HANOVER|CF06
1961,NEW_HANOVER|W21,PERFECT_MATCH,NEW_HANOVER|W21
1962,NEW_HANOVER|W24,PERFECT_MATCH,NEW_HANOVER|W24
1963,NEW_HANOVER|H04,PERFECT_MATCH,NEW_HANOVER|H04
1964,NEW_HANOVER|H03,PERFECT_MATCH,NEW_HANOVER|H03
1965,NEW_HANOVER|FP03,PERFECT_MATCH,NEW_HANOVER|FP03
1966,NEW_HANOVER|FP02,,
1967,NEW_HANOVER|W27,PERFECT_MATCH,NEW_HANOVER|W27
1968,NEW_HANOVER|M03,PERFECT_MATCH,NEW_HANOVER|M03
1969,NEW_HANOVER|OS.GVT.PAPER,COUNTY_LEVEL,OS.GVT.PAPER
1970,NEW_HANOVER|W30,PERFECT_MATCH,NEW_HANOVER|W30
1971,ONSLOW|NE22B,PERFECT_MATCH,ONSLOW|NE22B
1972,ONSLOW|HR17,PERFECT_MATCH,ONSLOW|HR17
1973,ONSLOW|SW19,PERFECT_MATCH,ONSLOW|SW19
1974,ONSLOW|HU20,PERFECT_MATCH,ONSLOW|HU20
1975,ONSLOW|BC21,PERFECT_MATCH,ONSLOW|BC21
1976,ONSLOW|CR07,PERFECT_MATCH,ONSLOW|CR07
1977,ONSLOW|NR02,PERFECT_MATCH,ONSLOW|NR02
1978,ONSLOW|VR15,PERFECT_MATCH,ONSLOW|VR15
1979,ONSLOW|FS16,PERFECT_MATCH,ONSLOW|FS16
1980,ONSLOW|NM13,PERFECT_MATCH,ONSLOW|NM13
1981,ONSLOW|GB12,PERFECT_MATCH,ONSLOW|GB12
1982,ONSLOW|CL10,PERFECT_MATCH,ONSLOW|CL10
1983,ONSLOW|WN04,PERFECT_MATCH,ONSLOW|WN04
1984,ONSLOW|ML23,PERFECT_MATCH,ONSLOW|ML23
1985,ONSLOW|TL06,PERFECT_MATCH,ONSLOW|TL06
1986,ONSLOW|JA01,PERFECT_MATCH,ONSLOW|JA01
1987,ONSLOW|BM08,PERFECT_MATCH,ONSLOW|BM08
1988,ONSLOW|SF18,PERFECT_MATCH,ONSLOW|SF18
1989,ONSLOW|RL09,PERFECT_MATCH,ONSLOW|RL09
1990,ONSLOW|EN03,PERFECT_MATCH,ONSLOW|EN03
1991,ONSLOW|HN14,PERFECT_MATCH,ONSLOW|HN14
1992,ONSLOW|MT24,PERFECT_MATCH,ONSLOW|MT24
1993,ONSLOW|HM05,PERFECT_MATCH,ONSLOW|HM05
1994,ONSLOW|NE22A,PERFECT_MATCH,ONSLOW|NE22A
1995,MITCHELL|07,PERFECT_MATCH,MITCHELL|07
1996,MITCHELL|04,PERFECT_MATCH,MITCHELL|04
1997,MITCHELL|09,PERFECT_MATCH,MITCHELL|09
